flight_number,date,booster_version,launch_site,payload,payload_mass_kg,orbit,customer,launch_outcome,booster_landing,launch_year,launch_site_code,success_flag
286.0,2024-01-03 03:44:00,F9 B5 B1082‑1,"Vandenberg, SLC‑4E",Starlink: Group 7-9 (22 satellites),16800.0,LEO,SpaceX,Success,Success (OCISLY),2024.0,VS,1
286.0,,"Launch of 22 Starlink v2 mini satellites, including the first six to feature direct-to-cell connectivity, to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 22 Starlink v2 mini satellites, including the first six to feature direct-to-cell connectivity, to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 22 Starlink v2 mini satellites, including the first six to feature direct-to-cell connectivity, to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.",22.0,"Launch of 22 Starlink v2 mini satellites, including the first six to feature direct-to-cell connectivity, to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 22 Starlink v2 mini satellites, including the first six to feature direct-to-cell connectivity, to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 22 Starlink v2 mini satellites, including the first six to feature direct-to-cell connectivity, to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 22 Starlink v2 mini satellites, including the first six to feature direct-to-cell connectivity, to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.",,Lo2Svmsitfstfdcta5k(moaaio5teic,0
287.0,2024-01-03 23:04:00,F9 B5 B1076‑10,"Cape Canaveral, SLC‑40",Ovzon-3,1800.0,GTO,Ovzon,Success,Success (LZ‑1),2024.0,CCS,1
287.0,,"Broadband internet provider satellite.[26] First Falcon 9 launch to GTO with a return-to-launch-site (RTLS) landing. First commercial satellite with Roll Out Solar Array that was deployed on January 10, 2024.[27][28]","Broadband internet provider satellite.[26] First Falcon 9 launch to GTO with a return-to-launch-site (RTLS) landing. First commercial satellite with Roll Out Solar Array that was deployed on January 10, 2024.[27][28]","Broadband internet provider satellite.[26] First Falcon 9 launch to GTO with a return-to-launch-site (RTLS) landing. First commercial satellite with Roll Out Solar Array that was deployed on January 10, 2024.[27][28]",26.0,"Broadband internet provider satellite.[26] First Falcon 9 launch to GTO with a return-to-launch-site (RTLS) landing. First commercial satellite with Roll Out Solar Array that was deployed on January 10, 2024.[27][28]","Broadband internet provider satellite.[26] First Falcon 9 launch to GTO with a return-to-launch-site (RTLS) landing. First commercial satellite with Roll Out Solar Array that was deployed on January 10, 2024.[27][28]","Broadband internet provider satellite.[26] First Falcon 9 launch to GTO with a return-to-launch-site (RTLS) landing. First commercial satellite with Roll Out Solar Array that was deployed on January 10, 2024.[27][28]","Broadband internet provider satellite.[26] First Falcon 9 launch to GTO with a return-to-launch-site (RTLS) landing. First commercial satellite with Roll Out Solar Array that was deployed on January 10, 2024.[27][28]",,BipsFF9ltGwar(lFcswROSAtwdoJ12,0
288.0,2024-01-07 22:35:00,F9 B5 B1067‑16,"Cape Canaveral, SLC‑40",Starlink: Group 6-35 (23 satellites),17100.0,LEO,SpaceX,Success,Success (ASOG),2024.0,CCS,1
288.0,,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Falcon record for total time from hangar rollout to launch at 6 hours, 33 minutes.[30]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Falcon record for total time from hangar rollout to launch at 6 hours, 33 minutes.[30]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Falcon record for total time from hangar rollout to launch at 6 hours, 33 minutes.[30]",23.0,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Falcon record for total time from hangar rollout to launch at 6 hours, 33 minutes.[30]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Falcon record for total time from hangar rollout to launch at 6 hours, 33 minutes.[30]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Falcon record for total time from hangar rollout to launch at 6 hours, 33 minutes.[30]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Falcon record for total time from hangar rollout to launch at 6 hours, 33 minutes.[30]",,Lo2Svmsta5k(moaaio4teicFrfttfhrtla6h3m,0
289.0,2024-01-14 08:59:00,F9 B5 B1061‑18,"Vandenberg, SLC‑4E",Starlink: Group 7-10 (22 satellites),16700.0,LEO,SpaceX,Success,Success (OCISLY),2024.0,VS,1
289.0,,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. Second booster to fly for the 18th time.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. Second booster to fly for the 18th time.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. Second booster to fly for the 18th time.,22.0,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. Second booster to fly for the 18th time.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. Second booster to fly for the 18th time.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. Second booster to fly for the 18th time.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. Second booster to fly for the 18th time.,,Lo2Svmsta5k(moaaio5teicSbtfft1t,0
290.0,2024-01-15 01:52:00,F9 B5 B1073‑12,"Cape Canaveral, SLC‑40",Starlink: Group 6-37 (23 satellites),17100.0,LEO,SpaceX,Success,Success (ASOG),2024.0,CCS,1
290.0,,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Shortest landing-to-landing turnaround of a droneship, at about 7 days. 300th successful mission for SpaceX.[33] Following this launch, SLC-40 was deactivated for planned maintenance and upgrades and would not see another flight until January 30.[34]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Shortest landing-to-landing turnaround of a droneship, at about 7 days. 300th successful mission for SpaceX.[33] Following this launch, SLC-40 was deactivated for planned maintenance and upgrades and would not see another flight until January 30.[34]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Shortest landing-to-landing turnaround of a droneship, at about 7 days. 300th successful mission for SpaceX.[33] Following this launch, SLC-40 was deactivated for planned maintenance and upgrades and would not see another flight until January 30.[34]",23.0,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Shortest landing-to-landing turnaround of a droneship, at about 7 days. 300th successful mission for SpaceX.[33] Following this launch, SLC-40 was deactivated for planned maintenance and upgrades and would not see another flight until January 30.[34]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Shortest landing-to-landing turnaround of a droneship, at about 7 days. 300th successful mission for SpaceX.[33] Following this launch, SLC-40 was deactivated for planned maintenance and upgrades and would not see another flight until January 30.[34]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Shortest landing-to-landing turnaround of a droneship, at about 7 days. 300th successful mission for SpaceX.[33] Following this launch, SLC-40 was deactivated for planned maintenance and upgrades and would not see another flight until January 30.[34]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Shortest landing-to-landing turnaround of a droneship, at about 7 days. 300th successful mission for SpaceX.[33] Following this launch, SLC-40 was deactivated for planned maintenance and upgrades and would not see another flight until January 30.[34]",,Lo2Svmsta5k(moaaio4teicSltoadaa7d3smfSFtlSwdfpmauawnsafuJ3,0
291.0,2024-01-18 21:49:00,F9 B5 B1080‑5,"Kennedy, LC‑39A",Ax-3 (Crew Dragon C212-3 Freedom),13000.0,LEO (ISS),Axiom Space,Success,Success (LZ‑1),2024.0,KL,1
291.0,,"Axiom contracted for three additional private crewed missions in June 2021.[36][37][38] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.","Axiom contracted for three additional private crewed missions in June 2021.[36][37][38] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.","Axiom contracted for three additional private crewed missions in June 2021.[36][37][38] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.",2021.0,"Axiom contracted for three additional private crewed missions in June 2021.[36][37][38] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.","Axiom contracted for three additional private crewed missions in June 2021.[36][37][38] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.","Axiom contracted for three additional private crewed missions in June 2021.[36][37][38] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.","Axiom contracted for three additional private crewed missions in June 2021.[36][37][38] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.",,AcftapcmiJ2TccoAMLIaWVESPaMWaTaAG,0
292.0,2024-01-24 00:35:00,F9 B5 B1063‑16,"Vandenberg, SLC‑4E",Starlink: Group 7-11 (22 satellites),16700.0,LEO,SpaceX,Success,Success (OCISLY),2024.0,VS,1
292.0,,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,22.0,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,,Lo2Svmsta5k(moaaio5teic,0
293.0,2024-01-29 01:10:00,F9 B5 B1062‑18,"Kennedy, LC‑39A",Starlink: Group 6-38 (23 satellites),17100.0,LEO,SpaceX,Success,Success (ASOG),2024.0,KL,1
293.0,,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,23.0,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,,Lo2Svmsta5k(moaaio4teic1tfafhft1t,0
294.0,2024-01-29 05:57:00,F9 B5 B1075‑9,"Vandenberg, SLC‑4E",Starlink: Group 7-12 (22 satellites),16700.0,LEO,SpaceX,Success,Success (OCISLY),2024.0,VS,1
294.0,,"Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.",22.0,"Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.",,Lo2Svmsta5k(moaaio5teicTlmtftoadajo5dTlamtfttoSa5d5h2ma2sbpro6d,0
295.0,2024-01-30 17:07:00,F9 B5 B1077‑10,"Cape Canaveral, SLC‑40",CRS NG-20,3726.0,LEO (ISS),Northrop Grumman (CRS),Success,Success (LZ‑1),2024.0,CCS,1
