flight_no,date_andtime_utc,version_booster_i,launchsite,payload_j,payload_mass_kg,orbit,customer,launchoutcome,boosterlanding
286,"January 3, 202403:44",F9B5B1082‑1,"Vandenberg,SLC‑4E",Starlink:Group 7-9(22 satellites),1680037000.0,LEO,SpaceX,Success,Success (OCISLY)
287,"January 3, 202423:04",F9B5B1076‑10,"Cape Canaveral,SLC‑40",Ovzon-3,18004000.0,GTO,Ovzon,Success,Success (LZ‑1)
288,"January 7, 202422:35",F9B5B1067‑16,"Cape Canaveral,SLC‑40",Starlink:Group 6-35(23satellites),1710037700.0,LEO,SpaceX,Success,Success (ASOG)
289,"January 14, 202408:59",F9B5B1061‑18,"Vandenberg,SLC‑4E",Starlink:Group 7-10(22satellites),1670036800.0,LEO,SpaceX,Success,Success (OCISLY)
290,"January 15, 202401:52",F9B5B1073‑12,"Cape Canaveral,SLC‑40",Starlink:Group 6-37(23satellites),1710037700.0,LEO,SpaceX,Success,Success (ASOG)
291,"January 18, 202421:49",F9B5B1080‑5,"Kennedy,LC‑39A",Ax-3(Crew Dragon C212-3Freedom),1300029000.0,LEO(ISS),Axiom Space,Success,Success (LZ‑1)
292,"January 24, 202400:35",F9B5B1063‑16,"Vandenberg,SLC‑4E",Starlink:Group 7-11(22satellites),1670036800.0,LEO,SpaceX,Success,Success (OCISLY)
293,"January 29, 202401:10",F9B5B1062‑18,"Kennedy,LC‑39A",Starlink:Group 6-38(23satellites),1710037700.0,LEO,SpaceX,Success,Success (ASOG)
294,"January 29, 202405:57",F9B5B1075‑9,"Vandenberg,SLC‑4E",Starlink:Group 7-12(22satellites),1670036800.0,LEO,SpaceX,Success,Success (OCISLY)
295,"January 30, 202417:07",F9B5B1077‑10,"Cape Canaveral,SLC‑40",CRS NG-20,37268214.0,LEO(ISS),Northrop Grumman(CRS),Success,Success (LZ‑1)
296,"February 8, 202406:33",F9B5B1081‑4,"Cape Canaveral,SLC‑40",PACE,16943735.0,SSO,NASA(LSP),Success,Success (LZ‑1)
297,"February 10, 202400:34",F9B5B1071‑14,"Vandenberg,SLC‑4E",Starlink:Group 7-13(22satellites),1670036800.0,LEO,SpaceX,Success,Success (OCISLY)
298,"February 14, 202422:30",F9B5B1078‑7,"Cape Canaveral,SLC‑40",USSF-124 (6satellites),,LEO,USSF/SDA,Success,Success (LZ‑2)
299,"February 15, 202406:05",F9B5B1060‑18,"Kennedy,LC‑39A",IM-1Nova-COdysseuslander,19314257.0,TLI,NASA(CLPS) /Intuitive Machines,Success,Success (LZ‑1)
300,"February 15, 202421:34",F9B5B1082‑2,"Vandenberg,SLC‑4E",Starlink:Group 7-14(22satellites),1670036800.0,LEO,SpaceX,Success,Success (OCISLY)
301,"February 20, 202420:11",F9B5B1067‑17,"Cape Canaveral,SLC‑40",Telkomsat HTS 113BT,40008800.0,GTO,Telkom Indonesia,Success,Success (JRTI)
302,"February 23, 202404:11",F9B5B1061‑19,"Vandenberg,SLC‑4E",Starlink:Group 7-15(22satellites),1670036800.0,LEO,SpaceX,Success,Success (OCISLY)
303,"February 25, 202422:06",F9B5B1069‑13,"Cape Canaveral,SLC‑40",Starlink:Group 6-39(24satellites),1750038600.0,LEO,SpaceX,Success,Success (ASOG)
304,"February 29, 202415:30",F9B5B1076‑11,"Cape Canaveral,SLC‑40",Starlink:Group 6-40(23satellites),1710037700.0,LEO,SpaceX,Success,Success (JRTI)
305,"March 4, 202403:53",F9B5B1083‑1,"Kennedy,LC‑39A",Crew-8(Crew Dragon C206-5Endeavour),1300029000.0,LEO(ISS),NASA(CTS),Success,Success (LZ‑1)
306,"March 4, 202422:05",F9B5B1081‑5,"Vandenberg,SLC‑4E",Transporter-10(53 payload smallsat rideshare),,SSO,Various,Success,Success (LZ‑4)
307,"March 4, 202423:56",F9B5B1073‑13,"Cape Canaveral,SLC‑40",Starlink:Group 6-41(23satellites),1710037700.0,LEO,SpaceX,Success,Success (ASOG)
308,"March 10, 202423:05",F9B5B1077‑11,"Cape Canaveral,SLC‑40",Starlink:Group 6-43(23satellites),1710037700.0,LEO,SpaceX,Success,Success (JRTI)
309,"March 11, 202404:09",F9B5B1063‑17,"Vandenberg,SLC‑4E",Starlink:Group 7-17(23satellites),1710037700.0,LEO,SpaceX,Success,Success (OCISLY)
310,"March 16, 202400:21",F9B5B1062‑19,"Kennedy,LC‑39A",Starlink:Group 6-44(23satellites),1710037700.0,LEO,SpaceX,Success,Success (ASOG)
311,"March 19, 202402:28",F9B5B1075‑10,"Vandenberg,SLC‑4E",Starlink:Group 7-16(20satellites) + 2Starshieldsatellites,1630035900.0,LEO,SpaceX,Success,Success (OCISLY)
312,"March 21, 202420:55",F9B5B1080‑6,"Cape Canaveral,SLC‑40",SpaceX CRS-30(Dragon C209-4),27215999.0,LEO(ISS),NASA(CRS),Success,Success (LZ‑1)
313,"March 24, 202403:09",F9B5B1060‑19,"Kennedy,LC‑39A",Starlink:Group 6-42(23satellites),1710037700.0,LEO,SpaceX,Success,Success (JRTI)
314,"March 25, 202423:42",F9B5B1078‑8,"Cape Canaveral,SLC‑40",Starlink:Group 6-46(23satellites),1710037700.0,LEO,SpaceX,Success,Success (ASOG)
315,"March 30, 202421:52",F9B5B1076‑12,"Kennedy,LC‑39A",Eutelsat 36D,500011000.0,GTO,Eutelsat,Success,Success (JRTI)
316,"March 31, 202401:30",F9B5B1067‑18,"Cape Canaveral,SLC‑40",Starlink:Group 6-45(23satellites),1710037700.0,LEO,SpaceX,Success,Success (ASOG)
317,"April 2, 202402:30",F9B5B1071‑15,"Vandenberg,SLC‑4E",Starlink:Group 7-18(22satellites),1670036800.0,LEO,SpaceX,Success,Success (OCISLY)
318,"April 5, 202409:12",F9B5B1069‑14,"Cape Canaveral,SLC‑40",Starlink:Group 6-47(23satellites),1710037700.0,LEO,SpaceX,Success,Success (ASOG)
319,"April 7, 202402:25",F9B5B1081‑6,"Vandenberg,SLC‑4E",Starlink:Group 8-1(21satellites),1680037000.0,LEO,SpaceX,Success,Success (OCISLY)
