Flight No.,Date andtime (UTC),"Version,booster[i]",Launchsite,Payload[j],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding
286,"January 3, 202403:44[24]",F9B5B1082‑1,"Vandenberg,SLC‑4E",Starlink:Group 7-9(22 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (OCISLY)
287,"January 3, 202423:04[25]",F9B5B1076‑10,"Cape Canaveral,SLC‑40",Ovzon-3,"1,800 kg (4,000 lb)",GTO,Ovzon,Success,Success (LZ‑1)
288,"January 7, 202422:35[29]",F9B5B1067‑16,"Cape Canaveral,SLC‑40",Starlink:Group 6-35(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
289,"January 14, 202408:59[31]",F9B5B1061‑18,"Vandenberg,SLC‑4E",Starlink:Group 7-10(22satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
290,"January 15, 202401:52[32]",F9B5B1073‑12,"Cape Canaveral,SLC‑40",Starlink:Group 6-37(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
291,"January 18, 202421:49[35]",F9B5B1080‑5,"Kennedy,LC‑39A",Ax-3(Crew Dragon C212-3Freedom),"~13,000 kg (29,000 lb)",LEO(ISS),Axiom Space,Success,Success (LZ‑1)
292,"January 24, 202400:35[39]",F9B5B1063‑16,"Vandenberg,SLC‑4E",Starlink:Group 7-11(22satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
293,"January 29, 202401:10[40]",F9B5B1062‑18,"Kennedy,LC‑39A",Starlink:Group 6-38(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
294,"January 29, 202405:57[41]",F9B5B1075‑9,"Vandenberg,SLC‑4E",Starlink:Group 7-12(22satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
295,"January 30, 202417:07[42]",F9B5B1077‑10,"Cape Canaveral,SLC‑40",CRS NG-20,"3,726 kg (8,214 lb)",LEO(ISS),Northrop Grumman(CRS),Success,Success (LZ‑1)
296,"February 8, 202406:33[45]",F9B5B1081‑4,"Cape Canaveral,SLC‑40",PACE,"1,694 kg (3,735 lb)",SSO,NASA(LSP),Success,Success (LZ‑1)
297,"February 10, 202400:34[47]",F9B5B1071‑14,"Vandenberg,SLC‑4E",Starlink:Group 7-13(22satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
298,"February 14, 202422:30[48]",F9B5B1078‑7,"Cape Canaveral,SLC‑40",USSF-124 (6satellites),Unknown,LEO,USSF/SDA,Success,Success (LZ‑2)
299,"February 15, 202406:05[50]",F9B5B1060‑18,"Kennedy,LC‑39A",IM-1Nova-COdysseuslander,"1,931 kg (4,257 lb)",TLI,NASA(CLPS) /Intuitive Machines,Success,Success (LZ‑1)
300,"February 15, 202421:34[55]",F9B5B1082‑2,"Vandenberg,SLC‑4E",Starlink:Group 7-14(22satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
301,"February 20, 202420:11[57]",F9B5B1067‑17,"Cape Canaveral,SLC‑40",Telkomsat HTS 113BT,"4,000 kg (8,800 lb)",GTO,Telkom Indonesia,Success,Success (JRTI)
302,"February 23, 202404:11[59]",F9B5B1061‑19,"Vandenberg,SLC‑4E",Starlink:Group 7-15(22satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
303,"February 25, 202422:06[61]",F9B5B1069‑13,"Cape Canaveral,SLC‑40",Starlink:Group 6-39(24satellites),"~17,500 kg (38,600 lb)",LEO,SpaceX,Success,Success (ASOG)
304,"February 29, 202415:30[63]",F9B5B1076‑11,"Cape Canaveral,SLC‑40",Starlink:Group 6-40(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
305,"March 4, 202403:53[64]",F9B5B1083‑1,"Kennedy,LC‑39A",Crew-8(Crew Dragon C206-5Endeavour),"~13,000 kg (29,000 lb)",LEO(ISS),NASA(CTS),Success,Success (LZ‑1)
306,"March 4, 202422:05[66]",F9B5B1081‑5,"Vandenberg,SLC‑4E",Transporter-10(53 payload smallsat rideshare),Unknown[k],SSO,Various,Success,Success (LZ‑4)
307,"March 4, 202423:56[69]",F9B5B1073‑13,"Cape Canaveral,SLC‑40",Starlink:Group 6-41(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
308,"March 10, 202423:05[71]",F9B5B1077‑11,"Cape Canaveral,SLC‑40",Starlink:Group 6-43(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
309,"March 11, 202404:09[72]",F9B5B1063‑17,"Vandenberg,SLC‑4E",Starlink:Group 7-17(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (OCISLY)
310,"March 16, 202400:21[73]",F9B5B1062‑19,"Kennedy,LC‑39A",Starlink:Group 6-44(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
311,"March 19, 202402:28[74]",F9B5B1075‑10,"Vandenberg,SLC‑4E",Starlink:Group 7-16(20satellites) + 2Starshieldsatellites,"~16,300 kg (35,900 lb)(Starlink)",LEO,SpaceX,Success,Success (OCISLY)
312,"March 21, 202420:55[77]",F9B5B1080‑6,"Cape Canaveral,SLC‑40",SpaceX CRS-30(Dragon C209-4),"2,721 kg (5,999 lb)",LEO(ISS),NASA(CRS),Success,Success (LZ‑1)
313,"March 24, 202403:09[79]",F9B5B1060‑19,"Kennedy,LC‑39A",Starlink:Group 6-42(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
314,"March 25, 202423:42[80]",F9B5B1078‑8,"Cape Canaveral,SLC‑40",Starlink:Group 6-46(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
315,"March 30, 202421:52[82]",F9B5B1076‑12,"Kennedy,LC‑39A",Eutelsat 36D,"5,000 kg (11,000 lb)",GTO,Eutelsat,Success,Success (JRTI)
316,"March 31, 202401:30[83]",F9B5B1067‑18,"Cape Canaveral,SLC‑40",Starlink:Group 6-45(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
317,"April 2, 202402:30[84]",F9B5B1071‑15,"Vandenberg,SLC‑4E",Starlink:Group 7-18(22satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
318,"April 5, 202409:12[85]",F9B5B1069‑14,"Cape Canaveral,SLC‑40",Starlink:Group 6-47(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
319,"April 7, 202402:25[86]",F9B5B1081‑6,"Vandenberg,SLC‑4E",Starlink:Group 8-1(21satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (OCISLY)
320,"April 7, 202423:16[87]",F9B5B1073‑14,"Kennedy,LC‑39A",Bandwagon-1(11 payload smallsat rideshare),Unknown[k],LEO,Various,Success,Success (LZ‑1)
321,"April 10, 202405:40[89]",F9B5B1083‑2,"Cape Canaveral,SLC‑40",Starlink:Group 6-48(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
322,"April 11, 202414:25[90]",F9B5B1082‑3,"Vandenberg,SLC‑4E",USSF-62 (WSF-M 1),"1,200 kg (2,600 lb)",SSO,USSF,Success,Success (LZ‑4)
323,"April 13, 202401:40[92]",F9B5B1062‑20,"Cape Canaveral,SLC‑40",Starlink:Group 6-49(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
324,"April 17, 202421:26[93]",F9B5B1077‑12,"Kennedy,LC‑39A",Starlink:Group 6-51(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
325,"April 18, 202422:40[94]",F9B5B1080‑7,"Cape Canaveral,SLC‑40",Starlink:Group 6-52(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
326,"April 23, 202422:17[95]",F9B5B1078‑9,"Cape Canaveral,SLC‑40",Starlink:Group 6-53(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
327,"April 28, 202400:34[97]",F9B5B1060‑20,"Kennedy,LC‑39A",Galileo-L12 (FOC FM25 & FM27),"1,600 kg (3,500 lb)",MEO,ESA,Success,No attempt
328,"April 28, 202422:08[98]",F9B5B1076‑13,"Cape Canaveral,SLC‑40",Starlink:Group 6-54(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
329,"May 2, 202418:36[99]",F9B5B1061‑20,"Vandenberg,SLC‑4E",WorldView Legion1 & 2,"1,500 kg (3,300 lb)",SSO,Maxar Technologies,Success,Success (LZ‑4)
330,"May 3, 202402:37[101]",F9B5B1067‑19,"Cape Canaveral,SLC‑40",Starlink:Group 6-55(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
331,"May 6, 202418:14[102]",F9B5B1069‑15,"Cape Canaveral,SLC‑40",Starlink:Group 6-57(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
332,"May 8, 202418:42[103]",F9B5B1083‑3,"Kennedy,LC‑39A",Starlink:Group 6-56(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
333,"May 10, 202404:30[104]",F9B5B1082‑4,"Vandenberg,SLC‑4E",Starlink:Group 8-2(20satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY)
334,"May 13, 202400:53[105]",F9B5B1073‑15,"Cape Canaveral,SLC‑40",Starlink:Group 6-58(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
335,"May 14, 202418:39[106]",F9B5B1063‑18,"Vandenberg,SLC‑4E",Starlink:Group 8-7(20satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY)
336,"May 18, 202400:32[107]",F9B5B1062‑21,"Cape Canaveral,SLC‑40",Starlink:Group 6-59(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
337,"May 22, 202408:00[108]",F9B5B1071‑16,"Vandenberg,SLC‑4E",NROL-146 (21Starshieldsatellites),Unknown,SSO,Northrop Grumman/NRO,Success,Success (OCISLY)
338,"May 23, 202402:35[111]",F9B5B1080‑8,"Cape Canaveral,SLC‑40",Starlink:Group 6-62(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
339,"May 24, 202402:45[112]",F9B5B1077‑13,"Kennedy,LC‑39A",Starlink:Group 6-63(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
340,"May 28, 202414:24[113]",F9B5B1078‑10,"Cape Canaveral,SLC‑40",Starlink:Group 6-60(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
341,"May 28, 202422:20[114]",F9B5B1081‑7,"Vandenberg,SLC‑4E",EarthCARE,"2,350 kg (5,180 lb)",SSO,ESA,Success,Success (LZ‑4)
342,"June 1, 202402:37[116]",F9B5B1076‑14,"Cape Canaveral,SLC‑40",Starlink:Group 6-64(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
343,"June 5, 202402:16[118]",F9B5B1067‑20,"Cape Canaveral,SLC‑40",Starlink:Group 8-5(20satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (JRTI)
344,"June 8, 202401:56[119]",F9B5B1069‑16,"Cape Canaveral,SLC‑40",Starlink:Group 10-1(22satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (ASOG)
